## blobtools v1.0
## cov0=/home/jon/Working_Files/blobtools/output.output.bam.cov
# name	colour	count_visible	count_visible_perc	span_visible	span_visible_perc	n50	gc_mean	gc_std	cov0_mean	cov0_std	cov0_read_map	cov0_read_map_p
Amphiprion percula	None	8	72.7%	44,768	98.2%	7,627	0.38	0.048	120.0	31.4	37,194	0.0%
Dendrothele bispora	None	1	100.0%	3,816	100.0%	3,816	0.39	0.0	112.3	0.0	2,859	0.0%
Schistocerca lineata	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Papio anubis	None	1	100.0%	5,513	100.0%	5,513	0.4	0.0	89.6	0.0	3,257	0.0%
Drosophila pseudoobscura	None	1	100.0%	28,577	100.0%	28,577	0.38	0.0	124.6	0.0	23,772	0.0%
Spirometra erinaceieuropaei	None	1	100.0%	1,914	100.0%	1,914	0.34	0.0	69.9	0.0	893	0.0%
Pseudostichopus sp. 2 AKM-2016	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Echeneis naucrates	None	1	50.0%	2,800	90.1%	2,800	0.35	0.0	61.8	0.0	1,154	0.0%
Cryptotermes secundus	None	8	100.0%	29,493	100.0%	4,720	0.4	0.021	123.5	36.8	24,887	0.0%
Orbicella faveolata	None	2	100.0%	32,410	100.0%	25,785	0.37	0.018	101.5	6.3	22,780	0.0%
Trachymyrmex zeteki	None	3	100.0%	11,600	100.0%	7,385	0.45	0.044	161.0	17.8	11,578	0.0%
Klebsiella variicola	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Crocodylus porosus	None	2	100.0%	4,733	100.0%	2,863	0.36	0.0068	98.7	13.1	3,206	0.0%
Takifugu rubripes	None	12	80.0%	94,910	98.8%	14,652	0.37	0.025	99.0	36.7	66,183	0.0%
Holothuria glaberrima	None	3	100.0%	70,203	100.0%	40,991	0.37	0.0019	123.9	23.9	63,742	0.0%
Exaiptasia pallida	None	1	100.0%	5,310	100.0%	5,310	0.39	0.0	95.1	0.0	3,370	0.0%
Rhodamnia argentea	None	1	100.0%	36,594	100.0%	36,594	0.36	0.0	152.7	0.0	37,249	0.0%
Calypte anna	None	1	100.0%	14,938	100.0%	14,938	0.38	0.0	74.1	0.0	7,366	0.0%
synthetic construct	None	3	60.0%	14,210	96.6%	10,077	0.4	0.027	78.9	15.7	8,684	0.0%
Callithrix jacchus	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Ciona savignyi	None	2	100.0%	5,089	100.0%	3,130	0.4	0.012	90.1	16.6	3,125	0.0%
Balkanospeum schniebsae	None	0	0.0%	0	0.0%	0.0	0.0	0.0	0.0	0.0	0	0.0%
Tetraodon nigroviridis	None	1	100.0%	25,982	100.0%	25,982	0.38	0.0	116.0	0.0	20,106	0.0%
